"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.270408880E-1,9.571290761E-2,7.178468257E-2,9.835099220E0,9.835826893E0
4.294479190E-1,9.810572863E-2,7.896314561E-2,9.801301003E0,9.802110041E0
4.318548990E-1,1.028913707E-1,6.221338734E-2,9.786943436E0,9.787682001E0
4.342618780E-1,9.092725813E-2,7.178468257E-2,9.755837440E0,9.756525251E0
4.366688570E-1,9.571290761E-2,7.417750359E-2,9.746265411E0,9.747017633E0
4.390758880E-1,1.076770201E-1,6.460621208E-2,9.753444672E0,9.754252983E0
4.414828670E-1,1.124626622E-1,8.374879509E-2,9.753444672E0,9.754452556E0
4.438898470E-1,1.052841991E-1,7.178468257E-2,9.746265411E0,9.747098403E0
4.462968260E-1,1.004985496E-1,7.417750359E-2,9.765408516E0,9.766207337E0
4.487038570E-1,9.092725813E-2,6.699903309E-2,9.770194054E0,9.770846866E0
4.511108360E-1,9.571290761E-2,7.417750359E-2,9.813264847E0,9.814011933E0
4.535178150E-1,1.076770201E-1,7.417750359E-2,9.832706451E0,9.833575789E0
4.559247940E-1,1.268195957E-1,8.853443712E-2,9.861420631E0,9.862633443E0
4.583318260E-1,1.363908947E-1,6.221338734E-2,9.880562782E0,9.881699949E0
4.607388050E-1,1.292124242E-1,7.417750359E-2,9.870991707E0,9.872116056E0
4.631457840E-1,1.292124242E-1,6.221338734E-2,9.849455833E0,9.850499813E0
4.655527630E-1,1.507478207E-1,4.546362907E-2,9.839884758E0,9.841144440E0
4.679597420E-1,1.387837082E-1,5.742774159E-2,9.837491989E0,9.838638498E0
4.703667740E-1,1.100698411E-1,4.546362907E-2,9.803693771E0,9.804417059E0
4.727737530E-1,1.172483116E-1,4.546362907E-2,9.782157898E0,9.782966178E0
4.751807320E-1,1.363908947E-1,5.024927482E-2,9.770194054E0,9.771275214E0
4.775877110E-1,1.220339537E-1,6.221338734E-2,9.774979591E0,9.775939280E0
4.799947420E-1,1.220339537E-1,6.460621208E-2,9.784550667E0,9.785524922E0
4.824017220E-1,1.220339537E-1,6.221338734E-2,9.796515465E0,9.797473044E0
4.848087010E-1,1.124626622E-1,5.503492057E-2,9.820742607E0,9.821540717E0
4.872156800E-1,1.196411327E-1,4.785645381E-2,9.837491989E0,9.838335879E0
4.896227110E-1,1.244267747E-1,3.828516230E-2,9.849455833E0,9.850316137E0
4.920296900E-1,1.339980662E-1,5.264209956E-2,9.878170013E0,9.879219073E0
4.944366690E-1,1.387837082E-1,6.939185411E-2,9.882955551E0,9.884173540E0
4.968436490E-1,1.220339537E-1,3.589234129E-2,9.878170013E0,9.878988985E0
4.992506800E-1,1.268195957E-1,2.632104978E-2,9.882955551E0,9.883804249E0
5.016576590E-1,1.387837082E-1,2.632104978E-2,9.882955551E0,9.883965001E0
5.040646380E-1,1.316052526E-1,2.392822690E-2,9.875777245E0,9.876683081E0
5.064716170E-1,1.028913707E-1,1.674975827E-2,9.832706451E0,9.833259040E0
5.088786490E-1,1.076770201E-1,4.067798331E-2,9.796515465E0,9.797191653E0
5.112856280E-1,1.172483116E-1,3.110669367E-2,9.786943436E0,9.787695163E0
5.136926070E-1,1.220339537E-1,3.110669367E-2,9.791728973E0,9.792538803E0
